states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
010000,13.0,,,,,,12.0,,,,,,,,,11.0,,,,62.0,,,,24.0,,,,,,,,,,42.0,,,7.0,,,,,,,3.0,3.0,7.0,,,,51,1.0,,1.0,6.0,,,,,,156,10.0,114.0,,,,,,,,,,74,,43.0,,55.0,,,,,,,,1.0,,,27,,,,,,,46.0,,,44.0,619.0,,
100000,10.0,,,,,,7.0,,,,,,,,3.0,7.0,,,,4.0,,,,10.0,,,,,,,,,,3.0,,,,,,,,,,1.0,5.0,,,,,21,,,11.0,4.0,,,,,,10,,2.0,,,,,,,,,,8,,3.0,,2.0,,,,,,,,,,,3,,,,,,,3.0,,,1.0,,,
100001,,,,,,,17.0,,,,,,,,41.0,1.0,,,,1.0,,,,15.0,,,,,,,,,,2.0,,,8.0,,,,,,,1.0,9.0,13.0,,,,19,,,,19.0,,,,,,10,605.0,1.0,,,,,,,,,,2,,2.0,,,,,,,,,,,,,32,,,,,,,,,,,16.0,,
100010,35.0,,,,,,54.0,,,,,,,,3.0,30.0,,,,26.0,,,,,,,,,,,,,,22.0,,,2.0,,,,,,,,1.0,1.0,,,,5,,,,,,,,,,174,11.0,25.0,,,,,,,,,,1,,29.0,,37.0,,,,,,,,14.0,,,20,,,,,,,19.0,,,45.0,2.0,,
100011,20.0,,,,,,599.0,,,,,,,,443.0,36.0,,,,17.0,,,594.0,389.0,,,,,,,,,,12.0,,,455.0,,,,,,,531.0,59.0,438.0,,,,445,568.0,,66.0,573.0,,,,,,31,7.0,36.0,,,,,,,,1.0,,372,,17.0,,6.0,,,,,,,,30.0,,,446,,,,,,,16.0,,,12.0,3.0,,
100100,1.0,,,,,,3.0,,,,,,,,4.0,5.0,,,,5.0,,,,21.0,,,,,,,,,,2.0,,,1.0,,,,,,,,21.0,2.0,,,,10,,,23.0,7.0,,,,,,15,29.0,2.0,,,,,,,,,,6,,6.0,,,,,,,,,,,,,14,,,,,,,2.0,,,3.0,12.0,,
100110,2.0,,,,,,100.0,,,,,,,,56.0,5.0,,,,14.0,2.0,,,147.0,,,,,,,,,,4.0,,,31.0,,,,,,,,1.0,27.0,,,,16,3.0,,2.0,33.0,,,,,,16,31.0,7.0,,,,,,,,,,16,,12.0,,7.0,,,,,,,,4.0,,,60,,,,,,,3.0,,,10.0,35.0,,
101000,3.0,,,,,,9.0,,,,,,,,3.0,3.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,25,,,24.0,1.0,,,,,,14,29.0,1.0,,,,,,,,,,25,,,,2.0,,,,,,,,,,,33,,,,,,,,,,,1.0,,
101010,5.0,,,,,,174.0,,,,,,,,316.0,8.0,,,,70.0,,,2.0,41.0,,,,,,,,,,82.0,,,16.0,,,,,,,2.0,59.0,17.0,,,,33,,,1.0,1.0,,,,,,60,29.0,27.0,,,,,,,,,,38,,62.0,,8.0,,,,,,,,14.0,,,43,,,,,,,85.0,,,10.0,12.0,,
101100,33.0,,,,,,1.0,,,,,,,,7.0,35.0,,,,26.0,1.0,,,13.0,,,,,,,,,,23.0,,,13.0,,,,,,,,17.0,7.0,,,,2,1.0,,,10.0,,,,,,5,8.0,10.0,,,,,,,,,,8,,23.0,,12.0,,,,,,,,4.0,,,19,,,,,,,26.0,,,12.0,29.0,,
101110,835.0,1024.0,1024.0,1024.0,1024.0,1024.0,35.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,99.0,818.0,1024.0,1024.0,1024.0,723.0,1021.0,1024.0,426.0,169.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,681.0,1024.0,1024.0,473.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,483.0,758.0,498.0,1024.0,1024.0,1024.0,2,446.0,1024.0,851.0,355.0,1024.0,1024.0,1024.0,1024.0,1024.0,233,177.0,680.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1023.0,1024.0,6,1024.0,721.0,1024.0,570.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,947.0,1024.0,1024.0,11,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,672.0,1024.0,1024.0,608.0,135.0,1024.0,1024.0
