states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
001010,,,,5.0,,,50,22.0,1.0,53.0,,,,,,6.0,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,21.0,,,19.0,,,4.0,,,,4.0,,,,1.0,,,,,,,,37.0,1.0,,,,,44.0,,,,,,,,,,12,,2.0,,21.0,,,,,,,,,,1.0,,,,,
001011,,,,53.0,,,39,25.0,5.0,5.0,,,,35.0,,2.0,,,,,,,18.0,,,,,,,,,,11.0,,,,,,,,,,89.0,,,28.0,,,23.0,,,,10.0,,,,8.0,,,,,,,,10.0,12.0,,,32.0,,77.0,6.0,,,,,,,,,21,,7.0,,5.0,,,,,,,,,,7.0,,,,,
001100,,,,1.0,,,44,19.0,1.0,53.0,,,,,,4.0,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,37.0,,,16.0,,,5.0,,,,9.0,,,,,,,,,,,,30.0,2.0,,,,,42.0,,,,,,,,,,13,,,,22.0,,,,,,,,,,,,,,,
001101,,,,60.0,,,50,18.0,7.0,2.0,,,,19.0,,2.0,,,,,,,21.0,,,,,,,,,,8.0,,,,,,,,,,83.0,,,40.0,,,30.0,,,,14.0,,,,15.0,,,,,,,,10.0,18.0,,,38.0,,61.0,3.0,,,,,,,,,26,,10.0,,6.0,,,,,,,,,,6.0,,,,,
001110,,,,29.0,,,239,280.0,18.0,311.0,,,,6.0,,15.0,,,,,,,1.0,,,,,,,,,,49.0,,,,,,,,,,56.0,,,15.0,,,25.0,,,,6.0,,,,59.0,,,,,,,,425.0,16.0,,,,,48.0,1.0,,,,,,,,,245,,10.0,,455.0,,,,,,,,,,,,,,,
001111,,,,136.0,,,303,407.0,705.0,311.0,,,,723.0,,279.0,,,,,,,694.0,,,,,,,,,,443.0,,,,,,,,,,339.0,,,30.0,,,1.0,,,,661.0,,,,458.0,,,,,,,,281.0,495.0,,,539.0,,571.0,174.0,,,,,,,,,67,,312.0,,196.0,,,,,,,,,,775.0,,,,,
010000,,,,79.0,,,72,43.0,15.0,85.0,,,,2.0,,143.0,,,,,,,2.0,,,,,,,,,,206.0,,,,,,,,,,195.0,,,7.0,,,23.0,,,,3.0,,,,211.0,,,,,,,,161.0,173.0,,,4.0,,61.0,1.0,,,,,,,,,28,,26.0,,112.0,,,,,,,,,,5.0,,,,,
100000,,,,12.0,,,2,5.0,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,12,,5.0,,43.0,,,,,,,,,,1.0,,,,,
100001,,,,1.0,,,2,1.0,20.0,3.0,,,,19.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,30.0,,,20.0,,,,34.0,,,,,,,,,,,,10.0,14.0,,,5.0,,2.0,1.0,,,,,,,,,30,,3.0,,46.0,,,,,,,,,,15.0,,,,,
101000,,,,23.0,,,90,146.0,35.0,104.0,,,,,,57.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,37.0,,,353.0,,,186.0,,,,79.0,,,,12.0,,,,,,,,8.0,3.0,,,3.0,,14.0,15.0,,,,,,,,,271,,13.0,,19.0,,,,,,,,,,2.0,,,,,
101001,1024.0,1024.0,1024.0,568.0,1024.0,1024.0,77,13.0,171.0,18.0,1024.0,1024.0,1024.0,160.0,1024.0,498.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,273.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,269.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,82.0,1024.0,1024.0,451.0,1024.0,1024.0,653.0,1024.0,1024.0,1024.0,154.0,1024.0,1024.0,1024.0,239.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,35.0,245.0,1024.0,1024.0,388.0,1024.0,58.0,787.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,210,1024.0,585.0,1024.0,15.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,161.0,1024.0,1024.0,1024.0,1024.0,1024.0
